Simulation,Max Windspeed (kts),Wind Direction (deg),Temperature (°C),Pressure (mbar),Apogee (ft),Max Mach,Polaris Rocket Initial Stability,Polaris Rocket Min Stability,Polaris Rocket Max Stability,Polaris Rocket Apogee Stability,Polaris Rocket Landing Latitude (deg N),Polaris Rocket Landing Longitude (deg E),Polaris Rocket Position East of Launch (ft),Polaris Rocket Position North of Launch (ft),Polaris Rocket Lateral Velocity at Apogee (ft/s)
2022-08-04 15:00:00+00:00,59.758816,260.0,17.231498999999985,1014.5,66296.38439539267,2.438361710892725,3.802940758949478,2.794976135240491,7.261011569832148,5.234791643398636,48.010822809771916,-81.69806406304073,42952.448616280555,16626.988544944114,215.15772616769408,
2022-08-04 16:00:00+00:00,63.17064700000001,260.0,17.431500000000028,1015.0,65935.68961871654,2.438039768041438,3.6043921466785394,2.797011756991382,7.251132081453919,5.579619953885263,48.00921052378023,-81.69944249582724,42616.36104380757,16038.065786635674,231.8222136201017,
2022-08-04 17:00:00+00:00,65.7115,260.0,18.481498999999985,1015.8,65587.69134768132,2.4355030383887577,3.5402120308752,2.8049649871233298,7.268036392746593,5.718052770813054,48.01163624077511,-81.70206019488684,41973.60741689148,16921.526057140385,244.6692225397472,
2022-08-04 18:00:00+00:00,63.65066,260.0,19.031499999999994,1015.9,65521.9938820199,2.4343102072426523,3.6085546142948193,2.8044376697672653,7.275619681940909,5.741351161342358,48.0134217942382,-81.70210337132319,41961.59050050845,17572.86851682252,246.49914117740076,
2022-08-04 19:00:00+00:00,62.747204,250.00000000000003,19.281499999999994,1016.0,65615.36793816905,2.434758978196832,3.6813503579231814,2.8119949252191208,7.217938845258798,5.6087922802763455,48.01139979284337,-81.69895309625277,42734.352686605336,16836.976746190707,240.43326738691025,
2022-08-05 11:00:00+00:00,44.633133,280.0,10.531500999999992,1020.8,65887.0658156155,2.4447419295232806,3.968328291847343,2.7763261712283565,7.274830569698858,5.976116518057425,47.921092694516524,-81.76836199396887,25789.39248025799,-16137.438227509645,241.41514042363977,
2022-08-05 12:00:00+00:00,44.444607,280.0,13.581500000000005,1020.9,65988.71921274722,2.438365573576818,3.813615489254932,2.790239456773836,7.272252432679288,5.821451907388782,47.922273126533206,-81.76527748831505,26545.13003707281,-15705.779541236672,229.98533688293458,
2022-08-05 13:00:00+00:00,42.84295,270.0,16.131500000000017,1021.1,66185.03144350908,2.433350095914266,3.794514294536243,2.808108432746121,7.26698891130461,5.6308265602700915,47.92927611097934,-81.75805628926639,28311.953609506174,-13148.57536432306,210.57889885541778,
2022-08-05 14:00:00+00:00,42.16137,270.0,18.381500000000017,1021.2,66284.81556134933,2.429001548771703,3.6207175094093578,2.846475895753403,7.27590014560121,5.457211322633017,47.92928139841709,-81.75267691734965,29630.80050110326,-13144.626630404797,198.76336002234186,
2022-08-05 15:00:00+00:00,39.011555,270.0,20.281499999999994,1021.1,66202.50886563836,2.4249622340735404,3.4773263707527113,2.8302909353164574,7.273787583184434,5.524130356974236,47.931190195792205,-81.75784841622722,28361.870667380972,-12450.25447762935,202.00323731355826,
2022-08-05 16:00:00+00:00,38.963097,270.0,21.831500000000005,1021.1,66347.10839535338,2.421329198325675,3.26689053109959,2.8395119097599477,7.269574299402799,5.3483749451944,47.93364695076076,-81.7551389737745,29024.739748432236,-11553.03976776295,189.38062700065785,
2022-08-05 17:00:00+00:00,39.863205,280.0,22.781499999999994,1020.8,66153.95144780699,2.42047107894398,3.3176433614243663,2.8498282965701405,7.259296402685915,5.639307676771514,47.926667137088295,-81.76840639239794,25775.735569279037,-14103.937991770092,204.95393545353951,
2022-08-05 18:00:00+00:00,40.505737,280.0,23.931500000000028,1020.1,65884.8863480379,2.418903574638932,3.468310559800159,2.878551737983327,7.244015311275886,5.744101618557828,47.93067341701954,-81.77426715734369,24336.910824324535,-12644.378953105388,222.037361443503,
2022-08-05 19:00:00+00:00,41.148438,280.0,24.531499999999994,1019.7,65715.69064538008,2.4185448105478335,3.3042793619115844,2.8442146106540585,7.259885496449186,5.77324329319894,47.93264012798274,-81.77206095046839,24876.844354615703,-11926.232819953164,231.99641121716562,
